record_id,date,year,month,program_name,program_category,region,state,beneficiaries_served,target_beneficiaries,funding_received,program_expenses,volunteer_hours,number_of_volunteers,satisfaction_score,outcome_success_rate,program_status
1365,2025-05-01,2025,5,COMMUNITY OUTREACH,Community,Midwest,IL,173,161,10426.07,8113.64,114.6,14,3.92,67.71,Completed
362,2022-11-01,2022,11,Healthcare Access,Health,MIDWEST,OH,277,297,15914.9,9022.85,281.1,28,4.68,99.0,Completed
708,2023-09-01,2023,9,Food Assistance,Basic Needs,South,FL,499,627,28948.69,20636.04,295.0,41,4.5,66.17,Active
414,2023-01-01,2023,1,Community Outreach,Community,Northeast,PA,257,290,14673.96,11976.39,294.5,31,3.85,73.6,Completed
721,2023-10-01,2023,10,Housing Support,Basic Needs,South,TX,215,194,13387.88,8561.8,156.7,18,4.63,67.36,Active
1567,2025-11-01,2025,11,Housing Support,Basic Needs,Northeast,PA,274,288,18055.76,13077.28,293.3,24,4.04,55.73,Active
1118,2024-09-01,2024,9,Youth Development,Education,Northeast,MA,321,360,13903.42,10631.58,507.8,36,4.48,84.78,Completed
30,2022-01-01,2022,1,Youth Development,Education,Midwest,MI,288,395,17149.53,14463.78,119.6,12,4.25,88.82,Active
495,2023-03-01,2023,3,Community Outreach,Community,Midwest,OH,297,286,17874.51,12849.3,213.6,24,4.88,71.49,Completed
186,2022-06-01,2022,6,Education Support,Education,South,GA,397,520,23391.59,17310.63,414.1,35,3.88,65.91,Active
412,2023-01-01,2023,1,Youth Development,Education,South,GA,287,362,16295.04,8656.24,331.0,32,4.0,73.4,Active
1437,2025-07-01,2025,7,Youth Development,Education,Midwest,MI,353,328,16929.65,13510.65,395.1,31,5.0,81.54,Active
31,2022-01-01,2022,1,Education Support,Education,Midwest,IL,327,368,18634.42,16148.13,164.6,19,4.31,74.77,Active
343,2022-11-01,2022,11,job training,Economic Empowerment,West,WA,187,240,11247.91,9733.92,181.2,17,4.43,76.47,Active
860,2024-02-01,2024,2,Community Outreach,Community,NORTHEAST,NY,152,129,10305.19,7111.82,107.3,14,4.24,56.98,Active
1177,2024-11-01,2024,11,Healthcare Access,Health,Mid West,MI,357,373,18445.64,12713.98,288.6,34,3.9,67.86,Active
434,2023-01-01,2023,1,Food Assistance,Basic Needs,South,GA,429,424,29478.44,23382.09,286.5,32,4.45,77.35,Active
947,2024-04-01,2024,4,Community Outreach,Community,West,WA,239,212,16495.85,12915.92,224.6,17,4.05,58.81,Completed
553,2023-05-01,2023,5,Housing  Support,Basic Needs,Midwest,OH,186,186,16031.16,8948.03,142.5,21,4.92,75.57,Active
304,2022-09-01,2022,9,food assistance,Basic Needs,West,AZ,302,343,16429.41,12712.76,277.3,32,4.75,69.84,Active
584,2023-06-01,2023,6,Healthcare Access,Health,,AZ,359,342,21953.89,20780.13,230.1,24,4.74,61.95,Active
901,2024-03-01,2024,3,Healthcare Access,Health,West,WA,395,463,23545.35,16378.49,187.9,19,4.58,86.92,Completed
1360,2025-04-01,2025,4,EDUCATION SUPPORT ,Education,West,WA,598,755,31348.5,18340.16,693.6,58,3.92,72.91,Active
1614,2025-12-01,2025,12,Job Training,Economic Empowerment,South,FL,139,145,11044.83,7275.52,124.9,13,4.48,66.35,Active
484,2023-03-01,2023,3,Community Outreach,Community,West,WA,170,187,11971.6,11317.5,179.9,15,3.75,71.26,Active
395,2022-12-01,2022,12,Food Assistance,Basic Needs,South,GA,199,178,12013.9,7411.04,107.5,11,5.0,80.51,Active
1230,2025-01-01,2025,1,Education Support,Education,South,GA,421,579,24742.42,21908.47,546.5,44,4.07,70.22,Active
66,2022-02-01,2022,2,Youth Development,Education,West,AZ,239,227,12313.4,10307.05,79.8,16,3.82,82.38,Paused
1152,2024-10-01,2024,10,Community Outreach,Community,Northeast,NY,206,171,11952.36,8218.12,238.3,22,4.1,79.62,Active
271,2022-08-01,2022,8,Youth Development,Education,South,TX,222,250,11836.71,10582.19,181.0,26,4.18,71.94,Paused
189,2022-06-01,2022,6,Housing Support,Basic Needs,South,TX,187,216,13086.45,11457.59,211.1,16,3.84,66.45,Completed
1540,2025-10-01,2025,10,Youth Development,Education,Northeast,PA,239,237,15578.75,13324.84,305.8,29,5.0,80.04,Active
24,2022-01-01,2022,1,Community outreach,Community,Midwest,MI,184,206,10883.87,8410.15,68.6,12,4.18,76.85,Paused
1538,2025-10-01,2025,10,food assistance,Basic Needs,Northeast,MA,429,400,26771.27,22605.84,353.7,38,5.0,81.24,Paused
33,2022-01-01,2022,1,youth development,Education,West,CA,348,389,20889.03,17911.58,205.7,22,3.09,73.8,Active
622,2023-07-01,2023,7,HEALTHCARE ACCESS,Health,South,GA,342,438,17489.16,13499.8,90.0,21,3.79,64.01,Active
965,2024-05-01,2024,5,Job Training,Economic Empowerment,Midwest,MI,244,304,14663.55,12416.43,211.6,17,4.27,62.11,Active
603,2023-06-01,2023,6,Youth Development,Education,Northeast,NY,353,404,21654.35,16285.14,253.1,28,4.17,81.89,Paused
694,2023-09-01,2023,9,Food Assistance,Basic Needs,South,FL,317,430,22884.06,18922.78,294.9,23,4.05,81.25,Active
272,2022-08-01,2022,8,Youth Development,Education,Northeast,MA,273,327,,10947.86,207.5,21,4.17,98.72,Active
482,2023-03-01,2023,3,Community outreach,Community,northeast,NY,161,156,12484.12,10353.9,121.2,18,4.22,68.79,Active
1327,2025-04-01,2025,4,Education Support,Education,South,GA,549,560,33587.22,29967.2,483.6,62,,82.36,Completed
627,2023-07-01,2023,7,FOOD ASSISTANCE,Basic Needs,Midwest,MI,382,493,22438.13,19147.68,285.0,32,4.53,73.91,Active
452,2023-02-01,2023,2,Youth Development,Education,Midwest,OH,249,263,14392.93,11386.78,209.8,20,4.86,87.88,Active
768,2023-11-01,2023,11,Community Outreach,Community,Midwest,MI,192,203,13254.66,11605.52,,14,4.37,75.47,Active
298,2022-09-01,2022,9,Food Assistance,Basic Needs,South,FL,309,305,21211.28,17096.89,142.1,20,4.65,77.61,Active
944,2024-04-01,2024,4,Education Support,Education,West,AZ,583,613,31061.16,21181.27,794.6,58,4.67,95.34,Paused
60,2022-02-01,2022,2,education support,Education,South,FL,339,440,16358.15,12351.98,328.9,32,5.0,88.96,Active
163,2022-05-01,2022,5,Healthcare Access,Health,Midwest,MI,354,386,22026.7,17889.42,299.5,25,4.37,68.95,Active
70,2022-03-01,2022,3,Community Outreach,Community,Midwest,OH,230,253,14377.19,10622.04,143.1,17,4.56,66.63,Active
260,2022-08-01,2022,8,Job Training,Economic Empowerment,Northeast,MA,192,184,11692.47,8750.56,225.2,18,4.35,68.4,Active
807,2023-12-01,2023,12,Youth Development,Education,Northeast,PA,197,199,10401.32,9122.14,95.4,12,3.87,73.97,Active
1064,2024-08-01,2024,8,Housing Support,Basic Needs,Midwest,OH,157,190,10770.28,7498.08,120.8,11,4.35,72.68,Completed
272,2022-08-01,2022,8,Youth Development,Education,Northeast,MA,273,327,,10947.86,207.5,21,4.17,98.72,Active
1375,2025-05-01,2025,5,Housing Support,Basic Needs,Midwest,IL,225,192,15695.54,12621.42,249.0,20,4.71,65.72,Active
1371,2025-05-01,2025,5,Healthcare Access,Health,west,CA,154,144,10893.17,8814.38,127.0,14,4.74,66.79,Active
665,2023-08-01,2023,8,community outreach,Community,West,WA,145,138,9109.94,6868.61,71.6,8,4.29,74.32,Completed
1245,2025-01-01,2025,1,Job Training,Economic Empowerment,Midwest,MI,195,212,13777.55,11706.85,124.4,18,4.7,75.41,Active
125,2022-04-01,2022,4,Housing Support,Basic Needs,Northeast,PA,194,175,14016.48,10538.85,255.3,23,4.09,72.58,Completed
1517,2025-09-01,2025,9,Education Support,Education,South,GA,466,626,27978.65,22699.76,302.3,29,4.35,83.47,Active
1186,2024-11-01,2024,11,Job Training,Economic Empowerment,Northeast,NY,233,195,15344.41,12390.61,152.9,12,4.34,81.56,Active
1005,2024-06-01,2024,6,Education Support,Education,West,WA,586,587,30112.11,29465.85,179.7,30,4.48,98.03,Paused
79,2022-03-01,2022,3,community outreach,Community,Northeast,MA,223,201,15286.87,11731.47,232.5,19,3.62,82.24,Active
100,2022-03-01,2022,3,Housing Support,Basic Needs,Northeast,PA,199,177,15575.93,13789.61,179.3,16,4.36,68.24,Active
290,2022-09-01,2022,9,Housing Support,Basic Needs,South,GA,203,233,12653.16,10402.91,159.1,20,4.1,59.2,Active
1549,2025-10-01,2025,10,Youth Development,Education,,AZ,308,308,17043.54,10896.26,203.6,22,5.0,99.0,Active
1332,2025-04-01,2025,4,Job  Training,Economic Empowerment,Midwest,MI,207,211,15868.24,12750.01,85.4,16,4.03,83.64,Active
1406,2025-06-01,2025,6,Job Training,Economic Empowerment,Northeast,NY,273,272,15017.01,12054.65,279.0,30,4.5,71.23,Active
479,2023-03-01,2023,3,Community Outreach,Community,South,FL,200,175,11282.79,9350.68,235.4,22,4.29,65.77,Paused
1102,2024-09-01,2024,9,Education Support,Education,West,AZ,456,489,23506.05,19112.26,437.3,39,4.66,80.53,Active
1237,2025-01-01,2025,1,Community Outreach,Community,Midwest,OH,198,245,14709.5,12820.54,134.4,15,4.32,63.77,Paused
1098,2024-09-01,2024,9,Healthcare Access,Health,Midwest,IL,334,409,17630.65,13449.55,273.5,23,4.98,65.68,Active
1030,2024-07-01,2024,7,Education Support,Education,South,FL,238,288,14416.05,12380.92,168.8,24,5.0,72.28,Paused
963,2024-05-01,2024,5,job training,Economic Empowerment,West,WA,242,270,18196.67,15741.42,167.9,25,4.11,79.96,Active
523,2023-04-01,2023,4,Youth Development,Education,Northeast,NY,359,475,18979.41,14153.18,263.3,32,4.17,77.32,Completed
496,2023-03-01,2023,3,Food Assistance,Basic Needs,West,CA,553,585,25995.01,22274.7,405.9,39,4.63,62.88,Active
1139,2024-10-01,2024,10,Youth Development,Education,Midwest,OH,246,286,14103.91,11633.02,,28,5.0,86.32,Active
1215,2024-12-01,2024,12,Community Outreach,Community,South,FL,144,161,9630.89,7448.37,88.9,13,4.65,65.09,Active
1334,2025-04-01,2025,4,COMMUNITY OUTREACH,Community,South,FL,254,299,16326.73,14228.53,176.0,22,4.73,69.52,Paused
169,2022-05-01,2022,5,Community Outreach,Community,West,WA,170,113,13278.23,11597.63,80.4,9,3.85,55.58,Completed
1034,2024-07-01,2024,7,Community Outreach,Community,MIDWEST,OH,109,128,7154.67,4816.72,80.4,7,3.72,78.46,Active
345,2022-11-01,2022,11,Food assistance,Basic Needs,Midwest,MI,373,388,21932.75,16116.93,250.9,33,3.98,82.98,Active
746,2023-10-01,2023,10,Community Outreach,Community,South,TX,177,187,9095.65,5843.49,196.3,20,4.76,79.79,Active
1313,2025-03-01,2025,3,Youth Development,Education,West,CA,298,369,16180.88,12840.32,436.4,34,4.9,82.6,Active
1527,2025-09-01,2025,9,Food assistance,Basic Needs,Midwest,OH,523,440,34695.6,27040.59,251.5,20,5.0,74.53,Active
1182,2024-11-01,2024,11,Education Support,Education,West,WA,411,421,21244.4,17453.98,292.2,29,4.87,74.14,Active
679,2023-08-01,2023,8,Health Care Access,Health,South,TX,309,369,,13372.73,106.4,21,4.14,70.06,Active
652,2023-08-01,2023,8,Housing Support,Basic Needs,Midwest,IL,165,176,10858.21,7298.33,136.5,13,4.51,72.03,Completed
1348,2025-04-01,2025,4,Youth Development,Education,West,WA,275,305,15650.41,12324.52,86.8,16,4.21,88.46,Paused
1277,2025-02-01,2025,2,housing support,Basic Needs,South,FL,253,254,18222.54,14947.07,230.5,25,3.49,60.28,Active
1335,2025-04-01,2025,4,FOOD ASSISTANCE,Basic Needs,West,AZ,441,365,28619.91,20863.08,467.4,47,4.25,84.44,Active
50,2022-02-01,2022,2,Healthcare Access,Health,Northeast,NY,303,372,14910.84,10930.88,180.4,14,4.4,84.9,Active
1146,2024-10-01,2024,10,Healthcare Access,Health,Midwest,MI,283,326,17212.91,15264.4,270.9,29,3.89,67.01,Active
562,2023-05-01,2023,5,COMMUNITY OUTREACH,Community,Northeast,NY,221,245,14189.68,9709.19,133.7,16,4.77,83.42,Paused
598,2023-06-01,2023,6,Community Outreach,Community,Mid West,IL,207,183,11613.12,5369.09,184.1,18,3.62,62.17,Active
597,2023-06-01,2023,6,Youth Development,Education,midwest,IL,414,436,20737.91,14154.02,381.9,40,3.5,88.26,Active
621,2023-07-01,2023,7,Food Assistance,Basic Needs,Midwest,MI,370,382,24371.77,19763.18,231.7,26,4.07,86.95,Active
1035,2024-07-01,2024,7,Education  Support,Education,Midwest,MI,350,308,20626.39,16868.36,538.3,47,4.13,89.08,Active
1112,2024-09-01,2024,9,Community Outreach,Community,Northeast,PA,168,169,11136.61,9277.76,74.9,11,3.87,86.37,Active
1278,2025-02-01,2025,2,Housing Support,Basic Needs,West,WA,214,263,21125.0,17578.6,216.1,24,3.42,71.44,Completed
561,2023-05-01,2023,5,Food Assistance,Basic Needs,Midwest,IL,402,371,22432.38,18738.64,181.9,33,4.68,73.38,Active
262,2022-08-01,2022,8,Healthcare Access,Health,Northeast,MA,296,325,15099.81,12231.56,192.9,29,4.92,74.39,Active
744,2023-10-01,2023,10,Youth development,Education,West,AZ,349,335,17398.6,15599.44,98.0,17,4.61,82.2,Active
136,2022-04-01,2022,4,Housing Support,Basic Needs,South,FL,199,199,13748.54,13579.08,190.4,18,4.82,69.91,Paused
1387,2025-05-01,2025,5,Housing Support,Basic Needs,Northeast,NY,149,167,8253.41,6709.87,118.9,12,4.08,72.93,Completed
1145,2024-10-01,2024,10,YOUTH DEVELOPMENT,Education,Northeast,NY,394,396,20240.02,14850.39,382.7,35,5.0,91.53,Completed
1522,2025-09-01,2025,9,Food assistance,Basic Needs,Midwest,IL,485,693,27738.99,22665.12,162.9,20,3.62,75.36,Active
1001,2024-06-01,2024,6,Housing Support,Basic Needs,West,AZ,221,226,15566.91,13254.8,262.2,24,4.4,79.98,Active
728,2023-10-01,2023,10,Housing Support,Basic Needs,SOUTH,FL,175,151,11364.27,8562.71,152.6,15,,77.58,Active
808,2023-12-01,2023,12,Food Assistance,Basic Needs,West,CA,416,393,21425.61,16978.03,196.1,31,4.42,82.79,Completed
74,2022-03-01,2022,3,Youth development,Education,South,GA,345,338,18403.35,12790.62,257.6,35,4.58,78.18,Paused
110,2022-04-01,2022,4,Housing Support,Basic Needs,Midwest,OH,152,159,11027.12,10580.03,110.7,11,4.34,77.51,Paused
491,2023-03-01,2023,3,job training,Economic Empowerment,West,CA,328,327,19968.24,12357.21,225.1,26,4.84,75.7,Active
451,2023-02-01,2023,2,Food Assistance,Basic Needs,Midwest,OH,399,542,25187.05,19647.62,300.9,40,4.14,86.66,Active
382,2022-12-01,2022,12,Job Training,Economic Empowerment,Northeast,MA,248,209,13565.01,9618.35,143.3,19,5.0,65.15,Active
775,2023-11-01,2023,11,Job Training,Economic Empowerment,Midwest,MI,203,131,11359.71,8690.8,91.4,11,4.27,69.13,Active
931,2024-04-01,2024,4,Education Support,Education,South,GA,816,868,34380.37,29526.56,503.8,38,4.87,76.13,Active
252,2022-08-01,2022,8,Community Outreach,Community,Northeast,PA,191,154,11035.28,7765.83,93.0,13,4.75,68.45,Paused
1161,2024-11-01,2024,11,Food Assistance,Basic Needs,South,GA,588,543,33486.71,28470.5,163.0,51,4.68,81.13,Completed
1595,2025-11-01,2025,11,Housing Support,Basic Needs,NORTHEAST,NY,194,153,12520.72,9266.5,133.9,18,4.62,65.85,Active
52,2022-02-01,2022,2,youth development,Education,South,FL,348,403,17984.12,12005.04,228.5,18,4.7,76.01,Active
204,2022-06-01,2022,6,Youth Development,Education,West,CA,446,438,21662.54,19671.78,442.0,38,4.77,75.23,Completed
77,2022-03-01,2022,3,Youth Development,Education,South,TX,260,299,12114.58,9382.03,153.8,23,5.0,83.03,Active
1291,2025-02-01,2025,2,Youth Development,Education,Northeast,NY,446,538,22817.79,17169.29,242.4,39,4.61,85.98,Paused
1023,2024-07-01,2024,7,Housing Support,Basic Needs,South,TX,343,399,19161.84,14462.16,51.2,5,4.35,69.12,Paused
352,2022-11-01,2022,11,Community outreach,Community,West,WA,174,180,11950.54,8561.9,182.6,21,5.0,76.51,Active
1572,2025-11-01,2025,11,Community Outreach,Community,midwest,MI,130,116,8893.53,7174.53,64.2,12,4.72,61.1,Completed
515,2023-04-01,2023,4,Community Outreach,Community,northeast,MA,206,267,16230.27,12054.75,76.4,16,4.18,61.68,Completed
406,2022-12-01,2022,12,community outreach,Community,Northeast,MA,226,181,10824.3,9588.95,205.7,18,4.58,64.13,Active
124,2022-04-01,2022,4,Food Assistance,Basic Needs,Northeast,MA,408,520,27364.63,23745.28,306.2,32,4.59,61.67,Active
519,2023-04-01,2023,4,Food Assistance,Basic Needs,South,TX,255,283,21487.61,16556.58,192.1,19,4.46,87.02,Completed
1111,2024-09-01,2024,9,Housing Support,Basic Needs,South,FL,125,150,8623.27,6392.49,158.6,15,,66.97,Paused
1281,2025-02-01,2025,2,Youth Development,Education,West,CA,478,468,28450.76,23658.69,459.2,56,3.95,87.05,Active
439,2023-01-01,2023,1,Community Outreach,Community,Midwest,OH,145,159,11141.02,8622.03,114.3,14,4.93,62.99,Active
240,2022-08-01,2022,8,Youth Development,Education,Northeast,MA,319,249,16496.47,11972.02,166.9,21,4.47,78.22,Paused
1535,2025-10-01,2025,10,Job Training,Economic Empowerment,South,TX,190,205,13857.59,12232.2,152.6,15,4.53,62.37,Active
1104,2024-09-01,2024,9,Housing Support,Basic Needs,Northeast,MA,206,183,16335.64,13290.43,121.4,19,4.18,63.15,Paused
556,2023-05-01,2023,5,food assistance,Basic Needs,West,CA,384,435,21596.96,18314.72,129.1,17,4.1,78.8,Completed
889,2024-03-01,2024,3,Youth Development,Education,Midwest,MI,400,304,23027.31,17617.37,145.4,14,4.11,83.31,Active
856,2024-02-01,2024,2,Food Assistance,Basic Needs,South,FL,454,604,28125.99,19545.08,646.2,61,4.53,81.81,Active
241,2022-08-01,2022,8,Housing Support,Basic Needs,MIDWEST,IL,131,116,7937.7,6381.31,122.4,17,3.21,65.71,Active
68,2022-02-01,2022,2,Healthcare Access,Health,South,GA,263,316,16529.68,11939.57,173.6,26,4.69,86.53,Paused
918,2024-03-01,2024,3,Youth Development,Education,South,TX,296,312,20535.09,18503.5,221.1,21,4.93,74.72,Active
384,2022-12-01,2022,12,Job Training,Economic Empowerment,South,FL,152,200,9165.18,7165.71,,13,3.84,85.62,Paused
142,2022-05-01,2022,5,Housing Support,Basic Needs,,FL,220,242,14011.35,11520.02,276.5,26,,75.71,Active
1162,2024-11-01,2024,11,Job Training,Economic Empowerment,South,TX,247,234,13935.49,11338.61,136.7,13,5.0,64.04,Paused
781,2023-11-01,2023,11,Community Outreach,Community,Northeast,NY,147,184,10648.93,9295.38,107.4,10,4.62,75.14,Active
1359,2025-04-01,2025,4,Youth Development,Education,west,WA,464,500,21630.91,15153.19,351.6,32,5.0,84.26,Completed
980,2024-05-01,2024,5,Youth development,Education,Midwest,IL,388,420,22011.6,15353.86,353.6,38,4.42,79.11,Active
1439,2025-07-01,2025,7,Education Support,Education,West,AZ,588,714,32561.16,24252.66,777.8,64,4.97,80.75,Paused
1192,2024-12-01,2024,12,Education Support,Education,North East,NY,432,506,24770.99,22373.97,176.2,22,4.89,76.26,Active
238,2022-07-01,2022,7,Healthcare Access,Health,West,WA,324,367,16303.43,12234.94,277.3,32,4.98,77.96,Active
245,2022-08-01,2022,8,Job Training,Economic Empowerment,South,TX,142,136,9632.51,8837.28,104.1,6,4.88,73.79,Active
998,2024-06-01,2024,6,Healthcare Access,Health,West,WA,311,331,17167.2,10445.03,164.8,20,4.42,90.11,Active
675,2023-08-01,2023,8,Housing Support,Basic Needs,West,CA,209,175,13563.9,11669.23,204.0,18,3.5,70.49,Active
818,2024-01-01,2024,1,Housing Support,Basic Needs,Northeast,MA,223,217,13628.43,9235.64,56.3,20,3.56,66.58,Completed
1531,2025-10-01,2025,10,job training,Economic Empowerment,Northeast,PA,186,213,11479.61,10010.8,371.0,22,4.52,66.7,Active
757,2023-11-01,2023,11,Food Assistance,Basic Needs,Midwest,IL,305,383,19595.59,17283.38,267.6,23,4.65,90.0,Active
185,2022-06-01,2022,6,Housing Support,Basic Needs,South,FL,199,186,13174.34,11130.05,168.8,16,3.95,64.5,Active
1114,2024-09-01,2024,9,Education Support,Education,South,GA,322,374,19962.11,12500.86,347.5,31,4.12,73.44,Active
880,2024-02-01,2024,2,Education Support,Education,Midwest,IL,446,576,28444.04,25667.72,164.9,23,,73.74,Paused
1094,2024-09-01,2024,9,Community Outreach,Community,Midwest,OH,220,228,15438.28,11621.28,78.5,9,4.78,74.32,Active
333,2022-10-01,2022,10,Community Outreach,Community,Midwest,MI,136,146,7925.81,6620.62,58.1,8,4.65,62.41,Active
1428,2025-06-01,2025,6,Education Support,Education,South,TX,426,428,25508.27,22043.31,407.9,37,4.42,77.26,Active
1417,2025-06-01,2025,6,Food Assistance,Basic Needs,Midwest,MI,438,483,26766.39,21793.46,502.3,41,3.85,70.2,Paused
1050,2024-07-01,2024,7,Community Outreach,Community,Midwest,IL,228,211,15273.88,13281.85,228.2,23,4.68,69.7,Completed
1158,2024-11-01,2024,11,Housing Support,Basic Needs,Midwest,OH,166,243,12638.66,9540.22,92.6,7,4.63,61.87,Active
1031,2024-07-01,2024,7,Food Assistance,Basic Needs,Northeast,MA,499,511,28834.24,26350.44,208.3,34,4.5,74.8,Active
213,2022-07-01,2022,7,Education Support,Education,South,FL,263,296,16124.13,12866.38,257.4,24,4.81,88.88,Active
671,2023-08-01,2023,8,Youth Development,Education,Northeast,MA,293,310,15847.73,10891.27,132.4,23,5.0,79.57,Completed
1180,2024-11-01,2024,11,Healthcare Access,Health,Northeast,MA,290,372,18829.68,12013.57,230.7,25,4.82,74.17,Active
354,2022-11-01,2022,11,Youth Development,Education,West,CA,335,414,15244.83,11796.44,300.4,35,3.78,74.6,Paused
833,2024-01-01,2024,1,Housing Support,Basic Needs,SOUTH,FL,227,235,12686.23,10274.69,182.3,23,4.74,46.34,Active
498,2023-03-01,2023,3,Community Outreach,Community,West,AZ,256,291,13999.55,9450.18,394.4,29,5.0,61.01,Active
487,2023-03-01,2023,3,Youth Development,Education,Northeast,PA,396,457,19741.15,16548.16,123.0,26,4.37,90.01,Active
1626,2025-12-01,2025,12,Community Outreach,Community,Northeast,MA,222,179,13420.29,9233.3,131.1,18,4.01,67.2,Active
248,2022-08-01,2022,8,Job Training,Economic Empowerment,Northeast,MA,247,231,13837.5,11356.51,96.8,16,4.13,78.9,Paused
1076,2024-08-01,2024,8,job training,Economic Empowerment,West,WA,181,260,12427.01,10213.83,209.9,17,3.77,86.02,Active
632,2023-07-01,2023,7,Community Outreach,Community,Midwest,OH,203,235,13318.4,10856.05,158.8,18,3.83,61.03,Active
1396,2025-06-01,2025,6,Healthcare Access,Health,West,CA,407,309,27643.34,28084.57,528.5,53,3.88,82.71,Paused
1019,2024-06-01,2024,6,Education  Support,Education,Midwest,MI,509,582,28699.38,27162.94,364.6,45,4.73,75.65,Active
1353,2025-04-01,2025,4,Youth Development,Education,South,TX,414,434,22204.89,21106.55,242.8,26,3.84,84.98,Paused
351,2022-11-01,2022,11,job training,Economic Empowerment,Northeast,NY,262,289,12366.09,8403.93,106.2,21,4.37,65.34,Active
812,2023-12-01,2023,12,Job Training,Economic Empowerment,South,GA,271,289,14593.33,10059.7,312.4,28,3.95,75.05,Active
1593,2025-11-01,2025,11,Job Training,Economic Empowerment,Midwest,IL,189,263,12786.37,11175.76,132.6,10,4.94,69.75,Paused
1488,2025-08-01,2025,8,Healthcare Access,Health,Midwest,IL,330,262,19171.49,16942.18,204.6,32,3.43,67.18,Completed
