record_id,date,year,month,program_name,program_category,program_status,region,state,beneficiaries_served,target_beneficiaries,target_achievement_rate,funding_received,program_expenses,funding_remaining,funding_utilization_rate,cost_per_beneficiary,volunteer_hours,number_of_volunteers,beneficiaries_per_volunteer_hour,satisfaction_score,outcome_success_rate
583,2023-06-01,2023,6,Housing Support,Basic Needs,Active,Midwest,MI,184,200,92.0,13752.54,9623.64,4128.9,69.98,52.3,184.6,21,0.997,4.1,64.23
1388,2025-05-01,2025,5,Job Training,Economic Empowerment,Paused,West,WA,205,233,87.98,12545.42,9536.19,3009.23,76.01,46.52,133.4,19,1.537,3.97,73.89
1038,2024-07-01,2024,7,Education Support,Education,Active,Midwest,OH,575,588,97.79,30917.07,27307.99,3609.08,88.33,47.49,539.5,65,1.066,4.2,81.11
421,2023-01-01,2023,1,Community Outreach,Community,Paused,West,AZ,120,94,127.66,9704.68,6254.23,3450.45,64.45,52.12,115.1,8,1.043,4.14,71.42
702,2023-09-01,2023,9,Job Training,Economic Empowerment,Active,South,FL,229,263,87.07,14228.31,13611.53,616.78,95.67,59.44,233.6,24,0.98,4.18,51.57
71,2022-03-01,2022,3,Healthcare Access,Health,Active,South,FL,434,512,84.77,20832.76,15570.35,5262.41,74.74,35.88,398.6,47,1.089,3.53,66.94
276,2022-09-01,2022,9,Job Training,Economic Empowerment,Active,Midwest,IL,235,272,86.4,15023.04,9775.08,5247.96,65.07,41.6,160.2,15,1.467,5.0,74.84
1365,2025-05-01,2025,5,Community Outreach,Community,Completed,Midwest,IL,173,161,107.45,10426.07,8113.64,2312.43,77.82,46.9,114.6,14,1.51,3.92,67.71
362,2022-11-01,2022,11,Healthcare Access,Health,Completed,Midwest,OH,277,297,93.27,15914.9,9022.85,6892.05,56.69,32.57,281.1,28,0.985,4.68,99.0
708,2023-09-01,2023,9,Food Assistance,Basic Needs,Active,South,FL,499,627,79.59,28948.69,20636.04,8312.65,71.28,41.35,295.0,41,1.692,4.5,66.17
414,2023-01-01,2023,1,Community Outreach,Community,Completed,Northeast,PA,257,290,88.62,14673.96,11976.39,2697.57,81.62,46.6,294.5,31,0.873,3.85,73.6
721,2023-10-01,2023,10,Housing Support,Basic Needs,Active,South,TX,215,194,110.82,13387.88,8561.8,4826.08,63.95,39.82,156.7,18,1.372,4.63,67.36
1567,2025-11-01,2025,11,Housing Support,Basic Needs,Active,Northeast,PA,274,288,95.14,18055.76,13077.28,4978.48,72.43,47.73,293.3,24,0.934,4.04,55.73
1118,2024-09-01,2024,9,Youth Development,Education,Completed,Northeast,MA,321,360,89.17,13903.42,10631.58,3271.84,76.47,33.12,507.8,36,0.632,4.48,84.78
30,2022-01-01,2022,1,Youth Development,Education,Active,Midwest,MI,288,395,72.91,17149.53,14463.78,2685.75,84.34,50.22,119.6,12,2.408,4.25,88.82
495,2023-03-01,2023,3,Community Outreach,Community,Completed,Midwest,OH,297,286,103.85,17874.51,12849.3,5025.21,71.89,43.26,213.6,24,1.39,4.88,71.49
186,2022-06-01,2022,6,Education Support,Education,Active,South,GA,397,520,76.35,23391.59,17310.63,6080.96,74.0,43.6,414.1,35,0.959,3.88,65.91
412,2023-01-01,2023,1,Youth Development,Education,Active,South,GA,287,362,79.28,16295.04,8656.24,7638.8,53.12,30.16,331.0,32,0.867,4.0,73.4
1437,2025-07-01,2025,7,Youth Development,Education,Active,Midwest,MI,353,328,107.62,16929.65,13510.65,3419.0,79.8,38.27,395.1,31,0.893,5.0,81.54
31,2022-01-01,2022,1,Education Support,Education,Active,Midwest,IL,327,368,88.86,18634.42,16148.13,2486.29,86.66,49.38,164.6,19,1.987,4.31,74.77
343,2022-11-01,2022,11,Job Training,Economic Empowerment,Active,West,WA,187,240,77.92,11247.91,9733.92,1513.99,86.54,52.05,181.2,17,1.032,4.43,76.47
860,2024-02-01,2024,2,Community Outreach,Community,Active,Northeast,NY,152,129,117.83,10305.19,7111.82,3193.37,69.01,46.79,107.3,14,1.417,4.24,56.98
1177,2024-11-01,2024,11,Healthcare Access,Health,Active,Midwest,MI,357,373,95.71,18445.64,12713.98,5731.66,68.93,35.61,288.6,34,1.237,3.9,67.86
434,2023-01-01,2023,1,Food Assistance,Basic Needs,Active,South,GA,429,424,101.18,29478.44,23382.09,6096.35,79.32,54.5,286.5,32,1.497,4.45,77.35
947,2024-04-01,2024,4,Community Outreach,Community,Completed,West,WA,239,212,112.74,16495.85,12915.92,3579.93,78.3,54.04,224.6,17,1.064,4.05,58.81
553,2023-05-01,2023,5,Housing Support,Basic Needs,Active,Midwest,OH,186,186,100.0,16031.16,8948.03,7083.13,55.82,48.11,142.5,21,1.305,4.92,75.57
304,2022-09-01,2022,9,Food Assistance,Basic Needs,Active,West,AZ,302,343,88.05,16429.41,12712.76,3716.65,77.38,42.1,277.3,32,1.089,4.75,69.84
901,2024-03-01,2024,3,Healthcare Access,Health,Completed,West,WA,395,463,85.31,23545.35,16378.49,7166.86,69.56,41.46,187.9,19,2.102,4.58,86.92
1360,2025-04-01,2025,4,Education Support,Education,Active,West,WA,598,755,79.21,31348.5,18340.16,13008.34,58.5,30.67,693.6,58,0.862,3.92,72.91
1614,2025-12-01,2025,12,Job Training,Economic Empowerment,Active,South,FL,139,145,95.86,11044.83,7275.52,3769.31,65.87,52.34,124.9,13,1.113,4.48,66.35
484,2023-03-01,2023,3,Community Outreach,Community,Active,West,WA,170,187,90.91,11971.6,11317.5,654.1,94.54,66.57,179.9,15,0.945,3.75,71.26
395,2022-12-01,2022,12,Food Assistance,Basic Needs,Active,South,GA,199,178,111.8,12013.9,7411.04,4602.86,61.69,37.24,107.5,11,1.851,5.0,80.51
1230,2025-01-01,2025,1,Education Support,Education,Active,South,GA,421,579,72.71,24742.42,21908.47,2833.95,88.55,52.04,546.5,44,0.77,4.07,70.22
66,2022-02-01,2022,2,Youth Development,Education,Paused,West,AZ,239,227,105.29,12313.4,10307.05,2006.35,83.71,43.13,79.8,16,2.995,3.82,82.38
1152,2024-10-01,2024,10,Community Outreach,Community,Active,Northeast,NY,206,171,120.47,11952.36,8218.12,3734.24,68.76,39.89,238.3,22,0.864,4.1,79.62
271,2022-08-01,2022,8,Youth Development,Education,Paused,South,TX,222,250,88.8,11836.71,10582.19,1254.52,89.4,47.67,181.0,26,1.227,4.18,71.94
189,2022-06-01,2022,6,Housing Support,Basic Needs,Completed,South,TX,187,216,86.57,13086.45,11457.59,1628.86,87.55,61.27,211.1,16,0.886,3.84,66.45
1540,2025-10-01,2025,10,Youth Development,Education,Active,Northeast,PA,239,237,100.84,15578.75,13324.84,2253.91,85.53,55.75,305.8,29,0.782,5.0,80.04
24,2022-01-01,2022,1,Community Outreach,Community,Paused,Midwest,MI,184,206,89.32,10883.87,8410.15,2473.72,77.27,45.71,68.6,12,2.682,4.18,76.85
1538,2025-10-01,2025,10,Food Assistance,Basic Needs,Paused,Northeast,MA,429,400,107.25,26771.27,22605.84,4165.43,84.44,52.69,353.7,38,1.213,5.0,81.24
33,2022-01-01,2022,1,Youth Development,Education,Active,West,CA,348,389,89.46,20889.03,17911.58,2977.45,85.75,51.47,205.7,22,1.692,3.09,73.8
622,2023-07-01,2023,7,Healthcare Access,Health,Active,South,GA,342,438,78.08,17489.16,13499.8,3989.36,77.19,39.47,90.0,21,3.8,3.79,64.01
965,2024-05-01,2024,5,Job Training,Economic Empowerment,Active,Midwest,MI,244,304,80.26,14663.55,12416.43,2247.12,84.68,50.89,211.6,17,1.153,4.27,62.11
603,2023-06-01,2023,6,Youth Development,Education,Paused,Northeast,NY,353,404,87.38,21654.35,16285.14,5369.21,75.2,46.13,253.1,28,1.395,4.17,81.89
694,2023-09-01,2023,9,Food Assistance,Basic Needs,Active,South,FL,317,430,73.72,22884.06,18922.78,3961.28,82.69,59.69,294.9,23,1.075,4.05,81.25
272,2022-08-01,2022,8,Youth Development,Education,Active,Northeast,MA,273,327,83.49,17450.43,10947.86,6502.57,62.74,40.1,207.5,21,1.316,4.17,98.72
482,2023-03-01,2023,3,Community Outreach,Community,Active,Northeast,NY,161,156,103.21,12484.12,10353.9,2130.22,82.94,64.31,121.2,18,1.328,4.22,68.79
1327,2025-04-01,2025,4,Education Support,Education,Completed,South,GA,549,560,98.04,33587.22,29967.2,3620.02,89.22,54.59,483.6,62,1.135,4.44,82.36
627,2023-07-01,2023,7,Food Assistance,Basic Needs,Active,Midwest,MI,382,493,77.48,22438.13,19147.68,3290.45,85.34,50.12,285.0,32,1.34,4.53,73.91
452,2023-02-01,2023,2,Youth Development,Education,Active,Midwest,OH,249,263,94.68,14392.93,11386.78,3006.15,79.11,45.73,209.8,20,1.187,4.86,87.88
768,2023-11-01,2023,11,Community Outreach,Community,Active,Midwest,MI,192,203,94.58,13254.66,11605.52,1649.14,87.56,60.45,216.6,14,0.886,4.37,75.47
298,2022-09-01,2022,9,Food Assistance,Basic Needs,Active,South,FL,309,305,101.31,21211.28,17096.89,4114.39,80.6,55.33,142.1,20,2.175,4.65,77.61
944,2024-04-01,2024,4,Education Support,Education,Paused,West,AZ,583,613,95.11,31061.16,21181.27,9879.89,68.19,36.33,794.6,58,0.734,4.67,95.34
60,2022-02-01,2022,2,Education Support,Education,Active,South,FL,339,440,77.05,16358.15,12351.98,4006.17,75.51,36.44,328.9,32,1.031,5.0,88.96
163,2022-05-01,2022,5,Healthcare Access,Health,Active,Midwest,MI,354,386,91.71,22026.7,17889.42,4137.28,81.22,50.54,299.5,25,1.182,4.37,68.95
70,2022-03-01,2022,3,Community Outreach,Community,Active,Midwest,OH,230,253,90.91,14377.19,10622.04,3755.15,73.88,46.18,143.1,17,1.607,4.56,66.63
260,2022-08-01,2022,8,Job Training,Economic Empowerment,Active,Northeast,MA,192,184,104.35,11692.47,8750.56,2941.91,74.84,45.58,225.2,18,0.853,4.35,68.4
807,2023-12-01,2023,12,Youth Development,Education,Active,Northeast,PA,197,199,98.99,10401.32,9122.14,1279.18,87.7,46.31,95.4,12,2.065,3.87,73.97
1064,2024-08-01,2024,8,Housing Support,Basic Needs,Completed,Midwest,OH,157,190,82.63,10770.28,7498.08,3272.2,69.62,47.76,120.8,11,1.3,4.35,72.68
1375,2025-05-01,2025,5,Housing Support,Basic Needs,Active,Midwest,IL,225,192,117.19,15695.54,12621.42,3074.12,80.41,56.1,249.0,20,0.904,4.71,65.72
1371,2025-05-01,2025,5,Healthcare Access,Health,Active,West,CA,154,144,106.94,10893.17,8814.38,2078.79,80.92,57.24,127.0,14,1.213,4.74,66.79
665,2023-08-01,2023,8,Community Outreach,Community,Completed,West,WA,145,138,105.07,9109.94,6868.61,2241.33,75.4,47.37,71.6,8,2.025,4.29,74.32
1245,2025-01-01,2025,1,Job Training,Economic Empowerment,Active,Midwest,MI,195,212,91.98,13777.55,11706.85,2070.7,84.97,60.04,124.4,18,1.568,4.7,75.41
125,2022-04-01,2022,4,Housing Support,Basic Needs,Completed,Northeast,PA,194,175,110.86,14016.48,10538.85,3477.63,75.19,54.32,255.3,23,0.76,4.09,72.58
1517,2025-09-01,2025,9,Education Support,Education,Active,South,GA,466,626,74.44,27978.65,22699.76,5278.89,81.13,48.71,302.3,29,1.542,4.35,83.47
1186,2024-11-01,2024,11,Job Training,Economic Empowerment,Active,Northeast,NY,233,195,119.49,15344.41,12390.61,2953.8,80.75,53.18,152.9,12,1.524,4.34,81.56
1005,2024-06-01,2024,6,Education Support,Education,Paused,West,WA,586,587,99.83,30112.11,29465.85,646.26,97.85,50.28,179.7,30,3.261,4.48,98.03
79,2022-03-01,2022,3,Community Outreach,Community,Active,Northeast,MA,223,201,110.95,15286.87,11731.47,3555.4,76.74,52.61,232.5,19,0.959,3.62,82.24
100,2022-03-01,2022,3,Housing Support,Basic Needs,Active,Northeast,PA,199,177,112.43,15575.93,13789.61,1786.32,88.53,69.29,179.3,16,1.11,4.36,68.24
290,2022-09-01,2022,9,Housing Support,Basic Needs,Active,South,GA,203,233,87.12,12653.16,10402.91,2250.25,82.22,51.25,159.1,20,1.276,4.1,59.2
1332,2025-04-01,2025,4,Job Training,Economic Empowerment,Active,Midwest,MI,207,211,98.1,15868.24,12750.01,3118.23,80.35,61.59,85.4,16,2.424,4.03,83.64
1406,2025-06-01,2025,6,Job Training,Economic Empowerment,Active,Northeast,NY,273,272,100.37,15017.01,12054.65,2962.36,80.27,44.16,279.0,30,0.978,4.5,71.23
479,2023-03-01,2023,3,Community Outreach,Community,Paused,South,FL,200,175,114.29,11282.79,9350.68,1932.11,82.88,46.75,235.4,22,0.85,4.29,65.77
1102,2024-09-01,2024,9,Education Support,Education,Active,West,AZ,456,489,93.25,23506.05,19112.26,4393.79,81.31,41.91,437.3,39,1.043,4.66,80.53
1237,2025-01-01,2025,1,Community Outreach,Community,Paused,Midwest,OH,198,245,80.82,14709.5,12820.54,1888.96,87.16,64.75,134.4,15,1.473,4.32,63.77
1098,2024-09-01,2024,9,Healthcare Access,Health,Active,Midwest,IL,334,409,81.66,17630.65,13449.55,4181.1,76.29,40.27,273.5,23,1.221,4.98,65.68
1030,2024-07-01,2024,7,Education Support,Education,Paused,South,FL,238,288,82.64,14416.05,12380.92,2035.13,85.88,52.02,168.8,24,1.41,5.0,72.28
963,2024-05-01,2024,5,Job Training,Economic Empowerment,Active,West,WA,242,270,89.63,18196.67,15741.42,2455.25,86.51,65.05,167.9,25,1.441,4.11,79.96
523,2023-04-01,2023,4,Youth Development,Education,Completed,Northeast,NY,359,475,75.58,18979.41,14153.18,4826.23,74.57,39.42,263.3,32,1.363,4.17,77.32
496,2023-03-01,2023,3,Food Assistance,Basic Needs,Active,West,CA,553,585,94.53,25995.01,22274.7,3720.31,85.69,40.28,405.9,39,1.362,4.63,62.88
1139,2024-10-01,2024,10,Youth Development,Education,Active,Midwest,OH,246,286,86.01,14103.91,11633.02,2470.89,82.48,47.29,216.6,28,1.136,5.0,86.32
1215,2024-12-01,2024,12,Community Outreach,Community,Active,South,FL,144,161,89.44,9630.89,7448.37,2182.52,77.34,51.72,88.9,13,1.62,4.65,65.09
1334,2025-04-01,2025,4,Community Outreach,Community,Paused,South,FL,254,299,84.95,16326.73,14228.53,2098.2,87.15,56.02,176.0,22,1.443,4.73,69.52
169,2022-05-01,2022,5,Community Outreach,Community,Completed,West,WA,170,113,150.44,13278.23,11597.63,1680.6,87.34,68.22,80.4,9,2.114,3.85,55.58
1034,2024-07-01,2024,7,Community Outreach,Community,Active,Midwest,OH,109,128,85.16,7154.67,4816.72,2337.95,67.32,44.19,80.4,7,1.356,3.72,78.46
345,2022-11-01,2022,11,Food Assistance,Basic Needs,Active,Midwest,MI,373,388,96.13,21932.75,16116.93,5815.82,73.48,43.21,250.9,33,1.487,3.98,82.98
746,2023-10-01,2023,10,Community Outreach,Community,Active,South,TX,177,187,94.65,9095.65,5843.49,3252.16,64.24,33.01,196.3,20,0.902,4.76,79.79
1313,2025-03-01,2025,3,Youth Development,Education,Active,West,CA,298,369,80.76,16180.88,12840.32,3340.56,79.35,43.09,436.4,34,0.683,4.9,82.6
1527,2025-09-01,2025,9,Food Assistance,Basic Needs,Active,Midwest,OH,523,440,118.86,34695.6,27040.59,7655.01,77.94,51.7,251.5,20,2.08,5.0,74.53
1182,2024-11-01,2024,11,Education Support,Education,Active,West,WA,411,421,97.62,21244.4,17453.98,3790.42,82.16,42.47,292.2,29,1.407,4.87,74.14
679,2023-08-01,2023,8,Healthcare Access,Health,Active,South,TX,309,369,83.74,19585.84,13372.73,6213.11,68.28,43.28,106.4,21,2.904,4.14,70.06
652,2023-08-01,2023,8,Housing Support,Basic Needs,Completed,Midwest,IL,165,176,93.75,10858.21,7298.33,3559.88,67.21,44.23,136.5,13,1.209,4.51,72.03
1348,2025-04-01,2025,4,Youth Development,Education,Paused,West,WA,275,305,90.16,15650.41,12324.52,3325.89,78.75,44.82,86.8,16,3.168,4.21,88.46
1277,2025-02-01,2025,2,Housing Support,Basic Needs,Active,South,FL,253,254,99.61,18222.54,14947.07,3275.47,82.03,59.08,230.5,25,1.098,3.49,60.28
1335,2025-04-01,2025,4,Food Assistance,Basic Needs,Active,West,AZ,441,365,120.82,28619.91,20863.08,7756.83,72.9,47.31,467.4,47,0.944,4.25,84.44
50,2022-02-01,2022,2,Healthcare Access,Health,Active,Northeast,NY,303,372,81.45,14910.84,10930.88,3979.96,73.31,36.08,180.4,14,1.68,4.4,84.9
1146,2024-10-01,2024,10,Healthcare Access,Health,Active,Midwest,MI,283,326,86.81,17212.91,15264.4,1948.51,88.68,53.94,270.9,29,1.045,3.89,67.01
562,2023-05-01,2023,5,Community Outreach,Community,Paused,Northeast,NY,221,245,90.2,14189.68,9709.19,4480.49,68.42,43.93,133.7,16,1.653,4.77,83.42
598,2023-06-01,2023,6,Community Outreach,Community,Active,Midwest,IL,207,183,113.11,11613.12,5369.09,6244.03,46.23,25.94,184.1,18,1.124,3.62,62.17
597,2023-06-01,2023,6,Youth Development,Education,Active,Midwest,IL,414,436,94.95,20737.91,14154.02,6583.89,68.25,34.19,381.9,40,1.084,3.5,88.26
621,2023-07-01,2023,7,Food Assistance,Basic Needs,Active,Midwest,MI,370,382,96.86,24371.77,19763.18,4608.59,81.09,53.41,231.7,26,1.597,4.07,86.95
1035,2024-07-01,2024,7,Education Support,Education,Active,Midwest,MI,350,308,113.64,20626.39,16868.36,3758.03,81.78,48.2,538.3,47,0.65,4.13,89.08
1112,2024-09-01,2024,9,Community Outreach,Community,Active,Northeast,PA,168,169,99.41,11136.61,9277.76,1858.85,83.31,55.22,74.9,11,2.243,3.87,86.37
1278,2025-02-01,2025,2,Housing Support,Basic Needs,Completed,West,WA,214,263,81.37,21125.0,17578.6,3546.4,83.21,82.14,216.1,24,0.99,3.42,71.44
561,2023-05-01,2023,5,Food Assistance,Basic Needs,Active,Midwest,IL,402,371,108.36,22432.38,18738.64,3693.74,83.53,46.61,181.9,33,2.21,4.68,73.38
262,2022-08-01,2022,8,Healthcare Access,Health,Active,Northeast,MA,296,325,91.08,15099.81,12231.56,2868.25,81.0,41.32,192.9,29,1.534,4.92,74.39
744,2023-10-01,2023,10,Youth Development,Education,Active,West,AZ,349,335,104.18,17398.6,15599.44,1799.16,89.66,44.7,98.0,17,3.561,4.61,82.2
136,2022-04-01,2022,4,Housing Support,Basic Needs,Paused,South,FL,199,199,100.0,13748.54,13579.08,169.46,98.77,68.24,190.4,18,1.045,4.82,69.91
1387,2025-05-01,2025,5,Housing Support,Basic Needs,Completed,Northeast,NY,149,167,89.22,8253.41,6709.87,1543.54,81.3,45.03,118.9,12,1.253,4.08,72.93
1145,2024-10-01,2024,10,Youth Development,Education,Completed,Northeast,NY,394,396,99.49,20240.02,14850.39,5389.63,73.37,37.69,382.7,35,1.03,5.0,91.53
1522,2025-09-01,2025,9,Food Assistance,Basic Needs,Active,Midwest,IL,485,693,69.99,27738.99,22665.12,5073.87,81.71,46.73,162.9,20,2.977,3.62,75.36
1001,2024-06-01,2024,6,Housing Support,Basic Needs,Active,West,AZ,221,226,97.79,15566.91,13254.8,2312.11,85.15,59.98,262.2,24,0.843,4.4,79.98
728,2023-10-01,2023,10,Housing Support,Basic Needs,Active,South,FL,175,151,115.89,11364.27,8562.71,2801.56,75.35,48.93,152.6,15,1.147,4.44,77.58
808,2023-12-01,2023,12,Food Assistance,Basic Needs,Completed,West,CA,416,393,105.85,21425.61,16978.03,4447.58,79.24,40.81,196.1,31,2.121,4.42,82.79
74,2022-03-01,2022,3,Youth Development,Education,Paused,South,GA,345,338,102.07,18403.35,12790.62,5612.73,69.5,37.07,257.6,35,1.339,4.58,78.18
110,2022-04-01,2022,4,Housing Support,Basic Needs,Paused,Midwest,OH,152,159,95.6,11027.12,10580.03,447.09,95.95,69.61,110.7,11,1.373,4.34,77.51
491,2023-03-01,2023,3,Job Training,Economic Empowerment,Active,West,CA,328,327,100.31,19968.24,12357.21,7611.03,61.88,37.67,225.1,26,1.457,4.84,75.7
451,2023-02-01,2023,2,Food Assistance,Basic Needs,Active,Midwest,OH,399,542,73.62,25187.05,19647.62,5539.43,78.01,49.24,300.9,40,1.326,4.14,86.66
382,2022-12-01,2022,12,Job Training,Economic Empowerment,Active,Northeast,MA,248,209,118.66,13565.01,9618.35,3946.66,70.91,38.78,143.3,19,1.731,5.0,65.15
775,2023-11-01,2023,11,Job Training,Economic Empowerment,Active,Midwest,MI,203,131,154.96,11359.71,8690.8,2668.91,76.51,42.81,91.4,11,2.221,4.27,69.13
931,2024-04-01,2024,4,Education Support,Education,Active,South,GA,816,868,94.01,34380.37,29526.56,4853.81,85.88,36.18,503.8,38,1.62,4.87,76.13
252,2022-08-01,2022,8,Community Outreach,Community,Paused,Northeast,PA,191,154,124.03,11035.28,7765.83,3269.45,70.37,40.66,93.0,13,2.054,4.75,68.45
1161,2024-11-01,2024,11,Food Assistance,Basic Needs,Completed,South,GA,588,543,108.29,33486.71,28470.5,5016.21,85.02,48.42,163.0,51,3.607,4.68,81.13
1595,2025-11-01,2025,11,Housing Support,Basic Needs,Active,Northeast,NY,194,153,126.8,12520.72,9266.5,3254.22,74.01,47.77,133.9,18,1.449,4.62,65.85
52,2022-02-01,2022,2,Youth Development,Education,Active,South,FL,348,403,86.35,17984.12,12005.04,5979.08,66.75,34.5,228.5,18,1.523,4.7,76.01
204,2022-06-01,2022,6,Youth Development,Education,Completed,West,CA,446,438,101.83,21662.54,19671.78,1990.76,90.81,44.11,442.0,38,1.009,4.77,75.23
77,2022-03-01,2022,3,Youth Development,Education,Active,South,TX,260,299,86.96,12114.58,9382.03,2732.55,77.44,36.08,153.8,23,1.691,5.0,83.03
1291,2025-02-01,2025,2,Youth Development,Education,Paused,Northeast,NY,446,538,82.9,22817.79,17169.29,5648.5,75.25,38.5,242.4,39,1.84,4.61,85.98
1023,2024-07-01,2024,7,Housing Support,Basic Needs,Paused,South,TX,343,399,85.96,19161.84,14462.16,4699.68,75.47,42.16,51.2,5,6.699,4.35,69.12
352,2022-11-01,2022,11,Community Outreach,Community,Active,West,WA,174,180,96.67,11950.54,8561.9,3388.64,71.64,49.21,182.6,21,0.953,5.0,76.51
1572,2025-11-01,2025,11,Community Outreach,Community,Completed,Midwest,MI,130,116,112.07,8893.53,7174.53,1719.0,80.67,55.19,64.2,12,2.025,4.72,61.1
515,2023-04-01,2023,4,Community Outreach,Community,Completed,Northeast,MA,206,267,77.15,16230.27,12054.75,4175.52,74.27,58.52,76.4,16,2.696,4.18,61.68
406,2022-12-01,2022,12,Community Outreach,Community,Active,Northeast,MA,226,181,124.86,10824.3,9588.95,1235.35,88.59,42.43,205.7,18,1.099,4.58,64.13
124,2022-04-01,2022,4,Food Assistance,Basic Needs,Active,Northeast,MA,408,520,78.46,27364.63,23745.28,3619.35,86.77,58.2,306.2,32,1.332,4.59,61.67
519,2023-04-01,2023,4,Food Assistance,Basic Needs,Completed,South,TX,255,283,90.11,21487.61,16556.58,4931.03,77.05,64.93,192.1,19,1.327,4.46,87.02
1111,2024-09-01,2024,9,Housing Support,Basic Needs,Paused,South,FL,125,150,83.33,8623.27,6392.49,2230.78,74.13,51.14,158.6,15,0.788,4.44,66.97
1281,2025-02-01,2025,2,Youth Development,Education,Active,West,CA,478,468,102.14,28450.76,23658.69,4792.07,83.16,49.5,459.2,56,1.041,3.95,87.05
439,2023-01-01,2023,1,Community Outreach,Community,Active,Midwest,OH,145,159,91.19,11141.02,8622.03,2518.99,77.39,59.46,114.3,14,1.269,4.93,62.99
240,2022-08-01,2022,8,Youth Development,Education,Paused,Northeast,MA,319,249,128.11,16496.47,11972.02,4524.45,72.57,37.53,166.9,21,1.911,4.47,78.22
